protocol,response_protocol,T_sw_prior_width_after_calibration,calibration_error_K,effective_prior_width,noise,seed,relative_error,gamma_est,success_flag,finite_result
ltp_ltd_only,ltp_ltd,0.1,0.0,0.1,0.05,2026,0.2262786036004065,551825371.620183,False,True
ltp_ltd_only,ltp_ltd,0.1,0.0,0.1,0.05,2027,0.22599130639407555,551696087.877334,False,True
ltp_ltd_only,ltp_ltd,0.1,0.0,0.1,0.05,2028,0.2257081471416506,551568666.2137429,False,True
ltp_ltd_only,ltp_ltd,0.1,0.0,0.1,0.05,2029,0.22568946115395538,551560257.51928,False,True
ltp_ltd_only,ltp_ltd,0.1,0.0,0.1,0.05,2030,0.225952428241902,551678592.708856,False,True
ltp_ltd_only,ltp_ltd,0.1,0.04,0.1,0.0,2026,0.20545073375262055,542452830.1886792,False,True
ltp_ltd_only,ltp_ltd,0.1,0.04,0.1,0.0,2027,0.20545073375262055,542452830.1886792,False,True
ltp_ltd_only,ltp_ltd,0.1,0.04,0.1,0.0,2028,0.20545073375262055,542452830.1886792,False,True
ltp_ltd_only,ltp_ltd,0.1,0.04,0.1,0.0,2029,0.20545073375262055,542452830.1886792,False,True
ltp_ltd_only,ltp_ltd,0.1,0.04,0.1,0.0,2030,0.20545073375262055,542452830.1886792,False,True
ltp_ltd_only,ltp_ltd,0.1,0.04,0.1,0.02,2026,0.21377571158687989,546199070.214096,False,True
ltp_ltd_only,ltp_ltd,0.1,0.04,0.1,0.02,2027,0.21366706100703106,546150177.453164,False,True
ltp_ltd_only,ltp_ltd,0.1,0.04,0.1,0.02,2028,0.21355997532611398,546101988.8967513,False,True
ltp_ltd_only,ltp_ltd,0.1,0.04,0.1,0.02,2029,0.2135529086253129,546098808.8813908,False,True
ltp_ltd_only,ltp_ltd,0.1,0.04,0.1,0.02,2030,0.2136523579967545,546143561.0985395,False,True
ltp_ltd_only,ltp_ltd,0.1,0.04,0.1,0.05,2026,0.2262786036004065,551825371.620183,False,True
ltp_ltd_only,ltp_ltd,0.1,0.04,0.1,0.05,2027,0.22599130639407555,551696087.877334,False,True
ltp_ltd_only,ltp_ltd,0.1,0.04,0.1,0.05,2028,0.2257081471416506,551568666.2137429,False,True
ltp_ltd_only,ltp_ltd,0.1,0.04,0.1,0.05,2029,0.22568946115395538,551560257.51928,False,True
ltp_ltd_only,ltp_ltd,0.1,0.04,0.1,0.05,2030,0.225952428241902,551678592.708856,False,True
ltp_ltd_only,ltp_ltd,0.1,0.1,0.1,0.0,2026,0.20545073375262055,542452830.1886792,False,True
ltp_ltd_only,ltp_ltd,0.1,0.1,0.1,0.0,2027,0.20545073375262055,542452830.1886792,False,True
ltp_ltd_only,ltp_ltd,0.1,0.1,0.1,0.0,2028,0.20545073375262055,542452830.1886792,False,True
ltp_ltd_only,ltp_ltd,0.1,0.1,0.1,0.0,2029,0.20545073375262055,542452830.1886792,False,True
ltp_ltd_only,ltp_ltd,0.1,0.1,0.1,0.0,2030,0.20545073375262055,542452830.1886792,False,True
ltp_ltd_only,ltp_ltd,0.1,0.1,0.1,0.02,2026,0.21377571158687989,546199070.214096,False,True
ltp_ltd_only,ltp_ltd,0.1,0.1,0.1,0.02,2027,0.21366706100703106,546150177.453164,False,True
ltp_ltd_only,ltp_ltd,0.1,0.1,0.1,0.02,2028,0.21355997532611398,546101988.8967513,False,True
ltp_ltd_only,ltp_ltd,0.1,0.1,0.1,0.02,2029,0.2135529086253129,546098808.8813908,False,True
ltp_ltd_only,ltp_ltd,0.1,0.1,0.1,0.02,2030,0.2136523579967545,546143561.0985395,False,True
ltp_ltd_only,ltp_ltd,0.1,0.1,0.1,0.05,2026,0.2262786036004065,551825371.620183,False,True
ltp_ltd_only,ltp_ltd,0.1,0.1,0.1,0.05,2027,0.22599130639407555,551696087.877334,False,True
ltp_ltd_only,ltp_ltd,0.1,0.1,0.1,0.05,2028,0.2257081471416506,551568666.2137429,False,True
ltp_ltd_only,ltp_ltd,0.1,0.1,0.1,0.05,2029,0.22568946115395538,551560257.51928,False,True
ltp_ltd_only,ltp_ltd,0.1,0.1,0.1,0.05,2030,0.225952428241902,551678592.708856,False,True
ltp_ltd_only,ltp_ltd,0.1,0.2,0.1,0.0,2026,0.20545073375262055,542452830.1886792,False,True
ltp_ltd_only,ltp_ltd,0.1,0.2,0.1,0.0,2027,0.20545073375262055,542452830.1886792,False,True
ltp_ltd_only,ltp_ltd,0.1,0.2,0.1,0.0,2028,0.20545073375262055,542452830.1886792,False,True
ltp_ltd_only,ltp_ltd,0.1,0.2,0.1,0.0,2029,0.20545073375262055,542452830.1886792,False,True
ltp_ltd_only,ltp_ltd,0.1,0.2,0.1,0.0,2030,0.20545073375262055,542452830.1886792,False,True
ltp_ltd_only,ltp_ltd,0.1,0.2,0.1,0.02,2026,0.21377571158687989,546199070.214096,False,True
ltp_ltd_only,ltp_ltd,0.1,0.2,0.1,0.02,2027,0.21366706100703106,546150177.453164,False,True
ltp_ltd_only,ltp_ltd,0.1,0.2,0.1,0.02,2028,0.21355997532611398,546101988.8967513,False,True
ltp_ltd_only,ltp_ltd,0.1,0.2,0.1,0.02,2029,0.2135529086253129,546098808.8813908,False,True
ltp_ltd_only,ltp_ltd,0.1,0.2,0.1,0.02,2030,0.2136523579967545,546143561.0985395,False,True
ltp_ltd_only,ltp_ltd,0.1,0.2,0.1,0.05,2026,0.2262786036004065,551825371.620183,False,True
ltp_ltd_only,ltp_ltd,0.1,0.2,0.1,0.05,2027,0.22599130639407555,551696087.877334,False,True
ltp_ltd_only,ltp_ltd,0.1,0.2,0.1,0.05,2028,0.2257081471416506,551568666.2137429,False,True
ltp_ltd_only,ltp_ltd,0.1,0.2,0.1,0.05,2029,0.22568946115395538,551560257.51928,False,True
ltp_ltd_only,ltp_ltd,0.1,0.2,0.1,0.05,2030,0.225952428241902,551678592.708856,False,True
ltp_ltd_only,ltp_ltd,0.1,0.4,0.2,0.0,2026,0.4109014675052411,634905660.3773586,False,True
ltp_ltd_only,ltp_ltd,0.1,0.4,0.2,0.0,2027,0.4109014675052411,634905660.3773586,False,True
ltp_ltd_only,ltp_ltd,0.1,0.4,0.2,0.0,2028,0.4109014675052411,634905660.3773586,False,True
ltp_ltd_only,ltp_ltd,0.1,0.4,0.2,0.0,2029,0.4109014675052411,634905660.3773586,False,True
ltp_ltd_only,ltp_ltd,0.1,0.4,0.2,0.0,2030,0.4109014675052411,634905660.3773586,False,True
ltp_ltd_only,ltp_ltd,0.1,0.4,0.2,0.02,2026,0.42755142317375977,642398140.4281919,False,True
ltp_ltd_only,ltp_ltd,0.1,0.4,0.2,0.02,2027,0.4273341220140621,642300354.906328,False,True
ltp_ltd_only,ltp_ltd,0.1,0.4,0.2,0.02,2028,0.42711995065222796,642203977.7935026,False,True
ltp_ltd_only,ltp_ltd,0.1,0.4,0.2,0.02,2029,0.4271058172506258,642197617.7627816,False,True
ltp_ltd_only,ltp_ltd,0.1,0.4,0.2,0.02,2030,0.427304715993509,642287122.1970791,False,True
ltp_ltd_only,ltp_ltd,0.1,0.4,0.2,0.05,2026,0.452557207200813,653650743.2403659,False,True
ltp_ltd_only,ltp_ltd,0.1,0.4,0.2,0.05,2027,0.4519826127881511,653392175.754668,False,True
ltp_ltd_only,ltp_ltd,0.1,0.4,0.2,0.05,2028,0.4514162942833012,653137332.4274856,False,True
ltp_ltd_only,ltp_ltd,0.1,0.4,0.2,0.05,2029,0.45137892230791077,653120515.0385598,False,True
ltp_ltd_only,ltp_ltd,0.1,0.4,0.2,0.05,2030,0.451904856483804,653357185.4177117,False,True
ltp_ltd_only,ltp_ltd,0.05,0.0,0.05,0.0,2026,0.10272536687631027,496226415.09433955,True,True
ltp_ltd_only,ltp_ltd,0.05,0.0,0.05,0.0,2027,0.10272536687631027,496226415.09433955,True,True
ltp_ltd_only,ltp_ltd,0.05,0.0,0.05,0.0,2028,0.10272536687631027,496226415.09433955,True,True
ltp_ltd_only,ltp_ltd,0.05,0.0,0.05,0.0,2029,0.10272536687631027,496226415.09433955,True,True
ltp_ltd_only,ltp_ltd,0.05,0.0,0.05,0.0,2030,0.10272536687631027,496226415.09433955,True,True
ltp_ltd_only,ltp_ltd,0.05,0.0,0.05,0.02,2026,0.10688785579343994,498099535.1070479,True,True
ltp_ltd_only,ltp_ltd,0.05,0.0,0.05,0.02,2027,0.10683353050351553,498075088.726582,True,True
ltp_ltd_only,ltp_ltd,0.05,0.0,0.05,0.02,2028,0.10677998766305699,498050994.4483757,True,True
ltp_ltd_only,ltp_ltd,0.05,0.0,0.05,0.02,2029,0.10677645431265645,498049404.44069535,True,True
ltp_ltd_only,ltp_ltd,0.05,0.0,0.05,0.02,2030,0.10682617899837725,498071780.5492698,True,True
ltp_ltd_only,ltp_ltd,0.05,0.0,0.05,0.05,2026,0.11313930180020325,500912685.81009144,True,True
ltp_ltd_only,ltp_ltd,0.05,0.0,0.05,0.05,2027,0.11299565319703778,500848043.938667,True,True
ltp_ltd_only,ltp_ltd,0.05,0.0,0.05,0.05,2028,0.1128540735708253,500784333.10687137,True,True
